datetime,open,high,low,close,volume,interest
2021-07-31 00:00:00,17.991,18.691,17.821,18.343,14166566.475146,0
2021-08-01 00:00:00,18.343,21.165,18.141,19.666,19129444.992521,0
2021-08-02 00:00:00,19.667,20.114,18.117,18.809,23221947.360684,0
2021-08-03 00:00:00,18.807,19.21,17.074,17.625,22785073.753545,0
2021-08-04 00:00:00,17.625,19.618,17.114,18.822,20109522.730378,0
2021-08-05 00:00:00,18.82,21.161,18.224,19.933,23078865.421666,0
2021-08-06 00:00:00,19.929,21.111,19.909,20.784,23644015.273988,0
2021-08-07 00:00:00,20.783,24.826,20.735,24.055,23548941.210936,0
2021-08-08 00:00:00,24.052,25.217,22.603,22.81,33251331.663585,0
2021-08-09 00:00:00,22.812,24.313,21.535,23.891,35351692.579784,0
2021-08-10 00:00:00,23.888,24.8,23.32,23.67,28495863.466005,0
2021-08-11 00:00:00,23.664,24.3,23.425,24.197,20993506.961642,0
2021-08-12 00:00:00,24.198,24.34,22.158,22.313,23534855.847236,0
2021-08-13 00:00:00,22.311,23.6,22.15,22.877,14889298.209028,0
2021-08-14 00:00:00,22.871,23.56,22.238,22.692,13030268.127905,0
2021-08-15 00:00:00,22.691,23.175,21.856,22.135,13673215.516955,0
2021-08-16 00:00:00,22.134,23,21.68,22.339,12810827.421324,0
2021-08-17 00:00:00,22.339,22.645,21.561,21.656,14351694.117133,0
2021-08-18 00:00:00,21.658,21.856,20.105,20.81,15802834.604155,0
2021-08-19 00:00:00,20.81,21.344,20.052,21.158,17135838.340589,0
2021-08-20 00:00:00,21.157,22.5,21.144,22.387,15927640.918343,0
2021-08-21 00:00:00,22.39,22.51,21.268,21.784,12075043.120894,0
2021-08-22 00:00:00,21.783,21.894,21.081,21.177,12103010.959891,0
2021-08-23 00:00:00,21.177,22.268,20.966,21.608,12828445.003516,0
2021-08-24 00:00:00,21.608,21.999,21.16,21.243,12491195.393807,0
2021-08-25 00:00:00,21.243,21.44,20.482,21.401,13653453.49912,0
2021-08-26 00:00:00,21.402,21.815,20.201,20.309,12236800.395888,0
2021-08-27 00:00:00,20.311,20.785,20,20.737,3094572.635108,0
2021-08-28 00:00:00,20.74,21.01,20.447,20.572,1542142.468132,0
2021-08-29 00:00:00,20.572,20.87,20.069,20.225,1711046.446314,0
2021-08-30 00:00:00,20.218,20.454,20.018,20.273,1516664.781272,0
2021-08-31 00:00:00,20.272,20.635,19.397,20.549,2105085.025922,0
2021-09-01 00:00:00,20.547,23.505,19.932,22.282,3439662.788687,0
2021-09-02 00:00:00,22.279,22.98,21.13,21.801,7853776.812295,0
2021-09-03 00:00:00,21.802,22.4,21.239,22.225,8362178.245787,0
2021-09-04 00:00:00,22.225,23.338,21.803,22.965,8822888.133446,0
2021-09-05 00:00:00,22.966,23.5,22.442,23.2,10032092.534125,0
2021-09-06 00:00:00,23.203,23.935,22.466,22.924,7825704.083897,0
2021-09-07 00:00:00,22.924,23.48,17.051,18.952,12312197.01793,0
2021-09-08 00:00:00,18.952,19.63,17.51,18.649,18029339.688766,0
2021-09-09 00:00:00,18.632,19.255,18.547,18.999,10662376.122094,0
2021-09-10 00:00:00,18.998,19.084,17.79,18.04,8012059.320871,0
